Lon,Lat
285042.7566843651,749143.6093726725
326903.6613124602,841736.4172044707
143348.53883890234,646046.5877835209
359747.12576948263,825692.3122812919
250704.80313348252,671125.6585572877
339734.1334549155,857114.5645379507
271234.45504668215,884337.8261329127
332228.97670013213,837190.3422889214
334084.7975800157,840500.3194567814
369659.1761857477,862346.1445429934
211973.38978771528,770727.0951125545
325968.12398581614,856229.3456334376
325642.8748486781,838418.6708855563
304474.5782980529,857792.8933817064
243483.09706270904,554418.5213728477
293608.2634339091,760054.5474316232
131527.20281166292,659035.4319506983
284501.65085717925,849401.8872210102
126650.8692741621,661572.2463098154
141238.72369142727,674067.8103170715
142223.23838543557,669545.4313968484
328839.9749990404,849496.7094650257
320304.55130438757,841860.2596934683
289570.42406476376,902728.5033365552
327682.1029723399,851744.2328927157
332902.95108248363,841633.103870545
317169.380561183,835241.3185971673
328742.4380996871,843930.8343043467
324483.3281518968,840667.0604313753
312122.73770631436,852051.4241975221
270770.65555628564,869869.1053176365
264386.681254187,784292.5775384543
273796.1302850878,711596.9209611891
332265.99321720895,839416.6866729903
294804.2036428199,758910.7037482599
364122.3034879115,774441.4974030966
265754.32312452956,844407.5036880232
326883.6734789255,840623.2558345245
311121.4794046817,860982.5749868242
354783.40171231027,756720.6673308053
372054.32327887486,863442.1734088891
359889.7320883035,840164.2148044888
332985.9668675316,840292.6654310129
325886.7567513527,851776.6363208903
359102.5667654096,760015.8804396683
322040.4087590312,838485.9890539744
332467.1928091465,841027.3378528223
382642.64501865336,827757.3209971228
359546.1926795498,865775.0153393096
268125.24350577476,688378.8250962038
325866.4206610519,850663.4632220543
343195.3636189264,848156.9891329838
340756.5197155144,672290.847542423
320086.76347293257,830728.9219331164
209886.48437318634,778625.216979674
322915.6907232586,852945.5710150737
264258.9363169314,835544.0410990755
280074.04154073354,881835.9516191272
321294.15096145886,861885.4257541943
253363.39899897244,850406.5198081154
327003.6343163583,847302.249505607
171913.54785044215,621057.6409814477
328800.9536441755,847270.3543015441
342899.7310411776,827006.2272917484
286474.57619491103,722376.5080345076
412088.903807897,844436.5705440193
386723.2205890672,786552.7192488743
344913.124869845,1010712.7646275843
322082.99833264225,840712.2779563225
341639.70054237597,864880.8762095894
238539.9073486597,680476.4033048184
237124.53297006912,676073.0794824847
153419.5136719823,667776.8900983185
250281.99245677792,658886.8203354959
320282.76144158933,840747.1183439095
355822.2980537206,852453.413503179
211363.79806953107,585181.7750549756
142024.94589028662,645008.9342523273
140766.8382800275,645083.5586697307
326008.82131835225,858455.7104361609
240829.07062212823,674820.6405280043
327279.702138719,794963.5924252343
368900.87928333704,761044.6730324726
325907.0951295974,852889.811111723
327582.9046282364,846178.3579563999
271610.4164325781,839762.389122773
318354.3394645795,864170.9666260369
333466.5152630656,839396.9005256144
371324.8366634881,757687.7986896486
188050.4611841299,769642.4556324775
136992.58479646285,645309.6140757935
335276.58845379687,949609.7745368686
287839.98788723757,680023.5487681718
299610.4665409542,676392.5988434871
344865.1505242804,1007372.3863910546
336658.9561526133,851594.117692135
330056.7227859016,850589.0773880521
171817.2386014487,620516.7928344875
171792.46611100278,620584.4282699219
342659.37539005966,852618.2800352719
138001.71023571814,830532.8841999078
319704.63820041827,841872.0478695078
320580.3315376426,825151.5881105799
264141.37019356934,867858.5205091718
149736.5934830787,753906.555869771
280289.2935280737,828359.0058652506
316830.7444464832,818544.6704034577
315320.545115064,833052.0785603758
289805.079028318,707811.8694659529
